169.0.0.0,169.1.255.255,ZA
169.239.240.0,169.239.243.255,ZA
169.239.244.0,169.239.247.255,SL
169.239.248.0,169.239.251.255,GH
169.239.252.0,169.239.255.255,KE
169.240.0.0,169.253.255.255,US
169.254.0.0,169.254.255.255,ZZ
169.255.0.0,169.255.3.255,ZA
169.255.4.0,169.255.7.255,CM
169.255.8.0,169.255.8.255,KE
169.255.9.0,169.255.11.255,GB
169.255.12.0,169.255.15.255,ZA
169.255.16.0,169.255.19.255,CI
169.255.20.0,169.255.23.255,ZA
169.255.24.0,169.255.27.255,SS
169.255.28.0,169.255.39.255,ZA
169.255.40.0,169.255.43.255,NG
169.255.44.0,169.255.47.255,ZA
169.255.48.0,169.255.51.255,TZ
169.255.52.0,169.255.55.255,MW
169.255.56.0,169.255.56.255,GH
169.255.57.0,169.255.63.255,ZA
169.255.64.0,169.255.67.255,CD
169.255.68.0,169.255.71.255,TN
169.255.72.0,169.255.75.255,CG
169.255.76.0,169.255.79.255,ZA
169.255.80.0,169.255.83.255,BW
169.255.84.0,169.255.87.255,CI
169.255.88.0,169.255.91.255,AO
169.255.92.0,169.255.95.255,US
169.255.96.0,169.255.99.255,FR
169.255.100.0,169.255.107.255,KE
169.255.108.0,169.255.111.255,US
169.255.112.0,169.255.115.255,TZ
169.255.116.0,169.255.119.255,ZA
169.255.120.0,169.255.123.255,CG
169.255.124.0,169.255.127.255,NG
169.255.128.0,169.255.131.255,ZA
169.255.132.0,169.255.135.255,MZ
169.255.136.0,169.255.139.255,SS
169.255.140.0,169.255.143.255,US
169.255.144.0,169.255.147.255,ZA
169.255.148.0,169.255.151.255,GA
169.255.152.0,169.255.155.255,TD
169.255.156.0,169.255.159.255,CI
169.255.160.0,169.255.163.255,MU
169.255.164.0,169.255.175.255,ZA
169.255.176.0,169.255.179.255,MA
169.255.180.0,169.255.183.255,NG
169.255.184.0,169.255.187.255,TZ
169.255.188.0,169.255.191.255,CD
169.255.192.0,169.255.199.255,ZA
169.255.200.0,169.255.203.255,US
169.255.204.0,169.255.207.255,CD
169.255.208.0,169.255.211.255,NG
169.255.212.0,169.255.215.255,KE
169.255.216.0,169.255.223.255,ZA
169.255.224.0,169.255.227.255,NG
169.255.228.0,169.255.235.255,ZA
169.255.236.0,169.255.236.247,NG
169.255.236.248,169.255.237.255,PT
169.255.238.0,169.255.239.255,NG
169.255.240.0,169.255.255.255,ZA
